Optimizador: SGD
Schedule: Exponential
Número de épocas: 50
Fecha y horario de guardado: 2025-05-19_00-53-43
El mínimo valor de la función pérdida (0.029373111203312874) se obtuvo  con batch size = 8, step size = 0.05625080190729887, optimAux = () y schAux = (681868.3876146068,).

Rangos de los hiperparámetros:
límite inferior,límite superior
1,10
-1.3010299,-1.1549019
5.477121,6.477121

Resultados:
batch size,step size,schAux0,loss
2,0.054210036417902396,2509596.2684884863,inf
3,0.0689044184779201,580018.4688849495,inf
9,0.05753839445558934,309920.9448716747,0.04051775
9,0.054972221228257435,909801.1355718997,0.036976144
8,0.06085012458406423,2129487.098181447,0.03312005
8,0.06972449485063877,369094.52344396553,inf
3,0.06498792053469628,1493194.654698504,inf
2,0.0675447413922445,1517929.4481077907,inf
5,0.06546672660963913,671437.3714824496,inf
6,0.0612412648656254,722154.4943916118,0.03709539
7,0.05997610020132453,1606791.0178827262,0.030201403
1,0.06256168466673002,450096.7873145585,inf
5,0.06237241796845467,2776117.8076730813,inf
2,0.059374502982043796,1358009.489041994,inf
7,0.05672033212747045,2685954.163227977,0.037016373
6,0.054080451093554145,467797.36525614647,0.03452168
4,0.06588449498447241,855234.3783021716,inf
9,0.05692097668236953,688980.4882024617,0.042059835
1,0.057023992302558786,320839.18706845323,inf
8,0.06057487618819241,1905506.9389438424,0.031096447
9,0.05732140279802119,2806716.7533140914,0.046930794
10,0.06786784534880065,324987.1708595552,inf
7,0.05333274956196269,438420.98234276864,0.03773999
6,0.061490446577815785,2975681.444608042,0.03349724
7,0.06987339629575588,1637421.2077578644,inf
2,0.05874006805378497,1269144.1596083303,inf
7,0.0558423111016117,1980902.66018106,0.03151465
5,0.05191619749436615,2216502.09427816,0.04037112
2,0.05883108180541815,805023.3809136795,inf
8,0.06739772656991296,2622814.291197269,inf
3,0.061167579707500044,1459808.6642220058,inf
8,0.05455671796334076,779007.9570855207,0.033662826
10,0.05008368358700767,900663.0248008589,0.040519867
5,0.05123567599861056,2444750.821545426,0.038835377
1,0.06708642294399687,530560.9778496745,inf
7,0.051023083479266915,1000060.0192128917,0.037054203
8,0.06303171010727682,1138736.5925446155,inf
4,0.05540574826965351,1204303.0200212728,inf
3,0.05618460324973548,707067.3657733521,inf
4,0.06590500335810667,2007052.2162816692,inf
8,0.06856530121372974,868381.0270598896,inf
10,0.05842340460842111,1053151.7267050059,inf
3,0.058185978142329606,419219.97370719345,inf
4,0.06372004376803173,1675917.4177392477,inf
5,0.05260731324168614,2084903.796550042,0.043826837
3,0.06682525451590546,1701300.0644147717,inf
9,0.05237891492254645,760039.6159179261,0.039081875
8,0.0508621863133017,935569.218894624,0.030105107
5,0.05761919766084697,2897476.284007395,inf
8,0.053750220221788866,506640.2570490043,0.032380298
9,0.054761797043093065,1334295.548184175,0.03720821
1,0.058030252455936675,1187281.7894250432,inf
4,0.060437957752337214,1164215.998450469,inf
5,0.050270002121365204,390387.7155981775,0.041675225
4,0.0681602168478863,2345885.9327545445,inf
2,0.05053295845187671,359168.1433796598,0.049132187
7,0.061854723621347134,334776.5568073645,0.03751416
3,0.05067849604626815,2259931.686604727,0.03405021
8,0.06795126728370647,558221.6104868196,inf
6,0.05279444594145563,1431644.7533351004,0.038412288
9,0.05779659328370922,1757450.6477255812,0.03669261
5,0.06426419116637033,480173.4693672165,inf
9,0.05184045606481872,753555.3227816616,0.03176903
6,0.05590876291694648,832804.7241055365,0.035711937
1,0.051542671932887876,1390221.0415531434,inf
6,0.0652406219466493,2073861.8695165894,inf
5,0.05249212757019766,2389386.2600039756,0.039455548
6,0.050407613612036245,545729.09275466,0.03727736
9,0.05930166740974407,822339.1490713918,inf
3,0.06653376174836013,2289164.9722351157,inf
2,0.06947016449536204,410680.9040988207,inf
4,0.05900858686387708,1029690.5261149368,inf
10,0.05650532953308482,599583.9697828067,0.03740945
7,0.05364156538115478,630567.3994863242,0.03815587
5,0.06626660170326919,347776.59229395643,inf
3,0.06364517435355034,491996.2713004439,inf
4,0.06326045713142504,1108248.5350903566,inf
2,0.05395757804688696,642323.5766389114,inf
6,0.052068169638294345,1295434.5086148512,0.03661778
3,0.06216902671625755,1077190.1124305655,inf
8,0.05625080190729887,681868.3876146068,0.029373111
3,0.06275036872304424,340758.9832215957,inf
2,0.06872196305844683,1775226.4095177767,inf
2,0.061716646606169115,457510.1313521467,inf
6,0.06658960765495284,971798.4453179116,inf
9,0.06393976106160891,2569473.2509145346,inf
4,0.05980978560685524,364930.56488196,inf
9,0.06911276206086092,559354.7039639913,inf
7,0.05300006521008106,949582.5770011038,0.037776172
6,0.05318795762998942,1247757.0977044706,0.038297873
4,0.0645411641458606,423925.99243107386,inf
10,0.05465815765567271,400125.03052142955,0.04272526
4,0.06472593226786587,513737.7036813471,inf
5,0.05556075972106633,1554602.7812587593,inf
6,0.06515814677611131,613959.0846764267,inf
2,0.0551600468013959,301026.8995091554,inf
7,0.06333627616815439,1813791.304247065,0.03508609
1,0.06020448633727916,589734.960227385,inf
8,0.05146344065368134,379766.9221930283,0.03375592
7,0.05965931667248692,1872458.2919448176,0.031298213
