Optimizador: SGD
Schedule: Fix
Número de épocas: 50
Fecha y horario de guardado: 2025-05-18_18-09-14
El mínimo valor de la función pérdida (0.029179688543081284) se obtuvo  con batch size = 2, step size = 0.019224232794353428, optimAux = () y schAux = ().

Rangos de los hiperparámetros:
límite inferior,límite superior
2,200
-3.9999998,-0.99999994

Resultados:
batch size,step size,loss
60,0.0017061281040970184,0.08103123
5,0.03611120621138775,0.032289825
46,0.0021165873525268537,0.07521495
105,0.008490353639749445,0.09851948
168,0.008151991246153657,0.08018033
88,0.0005308566889005642,0.12956393
116,0.00515759115712935,0.079420924
42,0.002934560252653119,0.071181685
189,0.003213777082448897,0.08592987
92,0.0005210914905720724,0.13411552
126,0.016612676358015534,0.07422049
114,0.030952479815256607,0.07709946
136,0.032230570398625896,0.0639382
16,0.000737766945531696,0.07485281
54,0.00059039808407549,0.09438066
109,0.0019661805442159814,0.086170636
12,0.00016781505633298017,0.087477766
41,0.001114622765039942,0.08098917
128,0.00024271944190047757,0.19755955
123,0.0037824504215248534,0.08164267
37,0.022787034836878186,0.05581918
96,0.02944749272769226,0.06254701
198,0.00013063588450351008,0.26195973
185,0.0577075161514892,0.089934655
188,0.042445253341685335,0.07678584
178,0.007701830679476999,0.078293756
193,0.00028363342624992743,0.20977177
56,0.09503719001882699,inf
71,0.04812771730466531,0.067216836
75,0.014245684358127552,0.09706741
181,0.002375114383910979,0.089401215
121,0.03891560363863631,0.06624616
152,0.0006683965648041992,0.15133777
196,0.00022773808004013707,0.22154541
10,0.006474509535879589,0.05885797
194,0.014904269364448297,0.07378348
132,0.00026438878291468437,0.19489041
17,0.0035323973558874845,0.0693147
123,0.0008580908223250307,0.11958074
65,0.0006388895971066921,0.098947875
159,0.02121288290440259,0.07251893
30,0.0004928174912220779,0.08509829
131,0.005100384356613527,0.08113922
68,0.01271817716838071,0.10430297
184,0.0034855202036031905,0.08452506
21,0.002311932843324178,0.07194247
48,0.0016143316383842644,0.07891585
61,0.0012223372954309065,0.08348979
142,0.00027358408601055485,0.19673827
101,0.051372310520849236,0.07639838
26,0.0013146527763860801,0.07421682
57,0.0001689387390767862,0.17484505
173,0.00020327276565631873,0.22084938
99,0.00011204365495483095,0.22293018
162,0.0014906055415550184,0.10254888
41,0.0073360313950754765,0.06793371
191,0.0001091132320353983,0.28287035
98,0.05393237925137706,0.066040486
145,0.006068978354131806,0.08203172
64,0.00032349812378168144,0.14203101
81,0.004572060338723401,0.07346121
9,0.037934250903413215,0.03850059
175,0.00021720347663905715,0.2178452
95,0.034480061678375536,0.06483614
161,0.02033539648166427,0.07573217
190,0.0001344057890773877,0.25420803
51,0.0007957513447875694,0.08580731
72,0.0759381751336617,inf
106,0.004202907556643758,0.0819083
165,0.003004965078484055,0.084195375
62,0.01315944060388852,0.0667237
104,0.005651475358309476,0.08083958
103,0.010466806458193208,0.079593316
29,0.012337167067923344,0.063072555
165,0.009838259530812665,0.07320894
45,0.04524767350239819,0.07971276
83,0.00587804385956819,0.071716204
112,0.0001241604672688077,0.22396293
158,0.0009237636255981556,0.13189927
154,0.00373004617427632,0.08322252
28,0.00013670126891980426,0.14438759
91,0.07483408816614319,inf
5,0.000763541317073167,0.06804668
130,0.011367772936941146,0.0736088
8,0.0001749074606223921,0.082427286
35,0.00047757288111518787,0.088139005
94,0.00044979573078395664,0.14568451
16,0.056570600380029736,0.045195978
180,0.004346712959691486,0.08219239
74,0.09698733043823321,inf
76,0.0008886606522718005,0.09207762
174,0.001032620661972837,0.13086487
195,0.0022057459559073774,0.093270704
38,0.0533733168715278,0.04820634
65,0.006731265373581823,0.07196022
143,0.06735925484918293,inf
163,0.01104838320933441,0.07673609
66,0.02661249928195882,0.05212417
140,0.00011764329616360201,0.24045078
29,0.0004291279554748447,0.08657939
92,0.00538417606763985,0.07260873
114,0.0006045941278521635,0.13868286
13,0.07928181149254568,inf
70,0.007906026419491589,0.07331196
84,0.0002308905506851225,0.17896128
134,0.017713512638255564,0.06913303
49,0.025069901157636416,0.0766004
149,0.0030776153172814027,0.08486234
117,0.0014236401292365055,0.09090954
156,0.010592984309500869,0.07189671
87,0.004100146536610108,0.08017597
103,0.0001416650652428705,0.21295173
73,0.00018277859032263849,0.18378416
115,0.0005816779624001454,0.14188565
14,0.027732272068576806,0.039920162
58,0.001935743650742764,0.079389356
43,0.008881038672262292,0.06631654
89,0.01871612859564143,0.06441846
134,0.0007018320352587545,0.13957693
53,0.04141327198644284,0.06765864
128,0.01523205040619567,0.06792031
32,0.020735145468856773,0.05166219
22,0.0024381374415004386,0.07034249
167,0.0011691015907577627,0.11925153
171,0.00019708671885758833,0.22189055
109,0.06485055309613304,0.121330604
24,0.03337942266918664,0.05097153
169,0.012121411911277146,0.07209663
76,0.00033905599702620807,0.1503987
118,0.06922361583675847,inf
157,0.00033268917747130875,0.19213058
23,0.0009603751590718571,0.076313175
183,0.0012828332034748708,0.11922857
18,0.001428915696685607,0.07020014
36,0.00478488043415485,0.068553776
125,0.0003608586398741074,0.17629607
95,0.00621840283106368,0.07578
147,0.0001524865729746695,0.22742432
177,0.00012049997866603782,0.25795045
52,0.0001502343718380201,0.17626901
2,0.019224232794353428,0.029179689
78,0.016300705454861723,0.07059967
200,0.0008461560984987459,0.1538445
80,0.00030793784560855615,0.15977931
129,0.0010554217250965604,0.10922323
141,0.04429110049659489,0.06444327
171,0.029857818232363338,0.079421096
111,0.0016563477667604187,0.08695065
180,0.07133270995558852,inf
138,0.002568746491483682,0.085064076
63,0.00010083268878800704,0.20557794
13,0.00015786594098160194,0.09076664
144,0.0010048646546067612,0.11950356
122,0.03965059336330437,0.07130036
25,0.0004691469870718424,0.08390016
170,0.0026944573357713165,0.08947363
135,0.00020769920869374172,0.20753871
187,0.09061876559709561,inf
21,0.00038414558801106574,0.08406271
176,0.002646151179815698,0.08677133
155,0.02402347459173907,0.06829187
153,0.0018447696317414781,0.09148078
77,0.0015315100714671365,0.08352784
137,0.00019253287264462635,0.21189699
39,0.0007849672889746509,0.08286981
98,0.00024959589529367234,0.1829255
50,0.00483180828946262,0.07118268
47,0.0020619310940164903,0.078754455
55,0.001814653293672696,0.07988256
69,0.08337135662576359,inf
178,0.025374198422403703,0.07325995
119,0.0011402635250916024,0.1003192
150,0.0028293199917395584,0.08429138
31,0.00042412289303570737,0.08791772
80,0.009939696482119807,0.071579464
86,0.00010513268962533805,0.21889459
59,0.0005617977697100956,0.100665644
195,0.009451093821756427,0.07695328
198,0.06015421241489648,0.060728524
151,0.003275011123731052,0.08359487
160,0.049369154842770234,0.07892194
35,0.022186335087644775,0.07043941
148,0.000667263034499416,0.14970292
85,0.06197645196844184,0.09288063
146,0.017790862796495815,0.0730043
44,0.00029853766610186765,0.121394254
164,0.00035228141155687866,0.1914607
102,0.006904739785601817,0.07359803
139,0.01562592841110021,0.08286992
3,0.007127358599345865,0.03571566
11,0.00038875160286214525,0.078333534
7,0.008960448528569115,0.04649886
111,0.08681611186278392,inf
190,0.0013701817036532208,0.117396615
19,0.003938685892310681,0.06793894
124,0.013603272441804377,0.079152875
34,0.08967118434063734,inf
88,0.00026160658136707053,0.17461023
184,0.028727965445474516,0.083525375
107,0.00039864982518967874,0.16173962
