Optimizador: SGD
Schedule: Power
Número de épocas: 50
Fecha y horario de guardado: 2025-05-19_13-49-25
El mínimo valor de la función pérdida (0.026519278064370155) se obtuvo  con batch size = 3, step size = 0.04231964644857069, optimAux = () y schAux = (2145956.2551754923, 0.6127414873314709).

Rangos de los hiperparámetros:
límite inferior,límite superior
1,10
-1.3979399,-0.99999994
30000.0,3000000.0
0.6,1

Resultados:
batch size,step size,schAux0,schAux1,loss
10,0.056875923887844224,101255.95927576686,0.789967820420621,0.03153029
6,0.043331415758470465,2989321.436717558,0.6598676924604444,0.052970354
2,0.09963759531391411,1943874.697780391,0.9594888631720553,inf
6,0.05480768687383304,2791061.2205446735,0.9732393180384987,0.03304375
3,0.0761921947496676,361167.8427156447,0.9173729467978617,inf
2,0.06335179045075363,793394.4395391895,0.7017300077982876,inf
6,0.0650638255514989,2163458.668881109,0.970179918372628,inf
1,0.04650665104995425,1322726.3275435574,0.6970044501304085,inf
5,0.06195890022113484,1458944.114973444,0.6558240875302773,inf
4,0.05743275716082145,2169517.754060781,0.6204203868779905,inf
7,0.05035638045361752,2055511.2609410111,0.8987539787711634,0.040639367
1,0.045325315093291824,1644700.939237807,0.79609439628367,inf
9,0.08795485900354705,822709.6868503859,0.8900067049446414,inf
1,0.05174388092929473,2901707.5099968207,0.99788273192145,inf
9,0.05993319183252212,674477.3067793404,0.7099567801130182,inf
2,0.04353295786314447,1544095.1052223067,0.8593610899924884,0.028739765
3,0.05502984996411222,2477303.2677419214,0.9467683901655017,inf
8,0.04652961016796829,542867.7210038218,0.979875417559779,0.035518404
3,0.09091936545481849,1385765.3424913972,0.7077812409899674,inf
3,0.04313188579898378,2917000.7659945446,0.9153945252810102,0.030173998
2,0.05297274815056108,2650384.276420681,0.9858733778068592,inf
2,0.08798560391422429,2459426.0133209196,0.9561107167889031,inf
5,0.07929556910177354,1704215.4525658216,0.764095522902634,inf
4,0.08514226212202924,1220632.9926631954,0.8075464570728014,inf
10,0.07008511538740446,2799257.7336396095,0.8118223800874185,inf
6,0.054079747459920405,2279204.224981449,0.9624706921406193,0.03996451
9,0.048987671318690945,279231.59279361204,0.6222417877914705,0.034875438
7,0.07665282982260575,1688658.5651869292,0.719503324071604,inf
9,0.05878781252238326,251918.1733365864,0.6818032657853674,0.041556485
6,0.06986820471278657,1989737.3077491391,0.7227832396446748,inf
4,0.05548002606816351,2297272.6841711253,0.8706838842023352,inf
4,0.055956301236274965,2209447.045187771,0.8663807780921593,inf
4,0.040105531815219905,2973255.980908036,0.7050029349664467,0.02825149
5,0.0597605061964246,869919.8204054617,0.9824558234599204,inf
2,0.08363780085215135,2519324.090086873,0.9984265347913479,inf
9,0.07756393066289788,954660.2945622108,0.9352670125806786,inf
8,0.07179664827265055,1400874.5361153008,0.6288952891129946,inf
9,0.06839937137583085,2951415.7501715817,0.7524190912917798,inf
8,0.06883440701834226,708137.7127680116,0.8803785785865257,inf
3,0.06700433001905197,2503023.969799377,0.7517629254920927,inf
2,0.055714283019619594,1192890.0124753835,0.6319193435624876,inf
3,0.0627950496704871,1018951.7156367433,0.8565702678090976,inf
8,0.07082448365194752,1512804.4659496662,0.7855942625983581,inf
5,0.06618016236473696,148598.74996362388,0.9879549884218026,inf
3,0.08856941360599113,2732473.7537616137,0.8211778923249247,inf
10,0.07220653309220534,1551395.9852364801,0.7865064303860241,inf
1,0.09584332183125303,88872.29751447495,0.6434641495639516,inf
1,0.040423250512596896,2223615.6455146004,0.6051287201853356,inf
9,0.051997662695100456,257671.00283301965,0.9435229877568329,0.037195835
4,0.04499419541831448,1766189.536052572,0.6664311089649145,0.029381694
7,0.07396695857432983,1338236.2482849066,0.8438119961399965,inf
2,0.052368893135809655,2326848.111834144,0.9537073536224903,inf
9,0.08000809888262293,1144339.6581502312,0.9041190647830323,inf
5,0.05382603346896295,2105322.0673847413,0.8024948761654882,0.031160902
6,0.07448126801385097,1359628.0847805971,0.606179383360316,inf
2,0.08567949441554389,1769774.4454296152,0.7950146675836384,inf
2,0.0773331967054813,1581904.203939402,0.6498568138568989,inf
5,0.08217779099784944,414829.49301408435,0.8502740349332651,inf
3,0.05659551351662417,2810204.180220967,0.912222698031804,inf
9,0.06059326320906231,1212087.012537262,0.8003282306503046,inf
7,0.04763775067283589,392886.4478957604,0.6643015924181641,0.04144821
6,0.07529241333332873,991630.5475761724,0.8608166712958889,inf
4,0.0893875932736326,2849066.6277589323,0.8224990334213894,inf
5,0.0506807044498704,2116958.0508409264,0.8777027123981738,0.03399833
6,0.08736977724477392,1269321.2129880954,0.8455884372130253,inf
5,0.06927820616329895,69465.11077287137,0.875068971992432,inf
1,0.08917202238304647,602908.2220086576,0.6384259372281427,inf
2,0.04256648539556321,2822733.366214137,0.9653639142417159,0.029854033
5,0.0735857525840068,2696264.4700867566,0.8846257638059569,inf
7,0.040308345315801526,1279585.9365678397,0.9319603481792897,0.033950284
7,0.06790241763672047,1480495.4126196003,0.6946037766045732,inf
2,0.053614956196129646,1418284.9191128695,0.7021671481739076,inf
4,0.05692389384734722,2265551.186629945,0.8640222095070225,inf
6,0.05077463191845669,1428351.3975662137,0.9334763680764767,0.042880025
2,0.04923376744179832,810460.5802315943,0.6984964860533129,inf
8,0.045713479869220634,946037.9180440113,0.9494843426768197,0.037775345
8,0.0451214398109573,744080.827901002,0.951004859200702,0.039723646
3,0.09432596683756708,2429137.786712832,0.6101065972687661,inf
4,0.09407062195571951,1728467.3883668918,0.6938079473196285,inf
1,0.04793114752421397,1923970.8061160985,0.6373287630226603,inf
5,0.056321485605973075,341952.63897148735,0.7794979142242281,inf
7,0.08689118629386583,728888.3675863312,0.7835075063529436,inf
7,0.04847843482148236,306964.35463149304,0.7301035094572585,0.036325026
8,0.09836818038030865,1711705.515013499,0.8290428069728812,inf
3,0.05798996435839066,1622909.6915544362,0.6478542540090096,inf
7,0.060260675492110914,1262148.0426281209,0.6621190610377133,0.032920994
8,0.04172544881729572,428496.8825146904,0.7991179099064362,0.04124937
2,0.04404343406576928,587575.8811262621,0.6576879847852223,0.029585619
2,0.04401157147628719,1616343.6479887445,0.8395791445698059,0.030297743
9,0.09897725458864232,1819824.565328331,0.6896146251602262,inf
4,0.09010863970209415,2682917.154754128,0.668749363248882,inf
4,0.06362218644523436,967478.0752368377,0.8928612963412825,inf
7,0.0448293854479449,915456.4126776677,0.7424398026356324,0.03810474
3,0.07795972714549569,1320966.3834545135,0.8520613499826708,inf
1,0.04281683897528797,1864642.4066767495,0.7408146599038761,inf
4,0.0641009791075263,2604785.6168602253,0.6601533979531262,inf
5,0.054190093210047814,1571164.8383954077,0.6411124013159055,0.027644852
1,0.0649128666189739,2348656.75455221,0.9759132463765198,inf
3,0.06095657776795382,1950103.237128988,0.7553711901221793,inf
7,0.053221384632635725,631124.7872248939,0.7918458036550744,0.039513886
4,0.08052905798161514,2737385.5649752775,0.8863940761377622,inf
7,0.06664167242346798,921720.9504472419,0.8274740958851725,inf
7,0.05262722998122341,2858182.5794368135,0.8949561289202466,0.033939492
4,0.0443595162344139,2042190.655501377,0.9457508310221956,0.0333279
6,0.05004113907904647,2750721.215965851,0.7344307726085411,0.038083855
7,0.0734678153021024,1052345.5931128305,0.8736614261872581,inf
7,0.06588745040212989,437237.5472678972,0.9928182327424165,inf
7,0.04620607280031552,2577714.4044555193,0.9210752281293737,0.041316897
5,0.05437970150041932,523625.88928309776,0.7365837015316267,0.037745077
9,0.04142912557325419,1660921.1030511605,0.7635452255343657,0.042744398
9,0.08315590873976869,1072760.0013298122,0.7158234024807221,inf
4,0.06947266317724023,1801022.6886156197,0.6864239156499805,inf
6,0.06238953957146699,1161257.3013069092,0.8489342494973839,0.031879418
3,0.062281822248088106,2248806.697216403,0.7604908119043967,inf
5,0.051580298404773864,158691.6828932499,0.7120728617613422,0.03728539
7,0.0809766239274796,2241831.0404410562,0.8302624305123414,inf
8,0.05876009245836009,1448741.9455568106,0.9274669032817562,0.033551306
7,0.07483205693395478,289081.0614500671,0.9948517812051527,inf
2,0.04381363153933842,722175.1685829753,0.9361737167637884,0.02766495
8,0.076961196090504,2717582.0391288563,0.7284573777497649,inf
4,0.057573718631573644,778456.7356221332,0.9662839943887414,inf
4,0.06828038213998598,1128848.2198583004,0.9385737672586791,inf
6,0.041882024074376654,861024.9334445324,0.7815234015215041,0.035974424
8,0.08536275582710025,1897241.0690193244,0.6501531781523817,inf
7,0.07258757791954994,1371005.032227721,0.8782807474613805,inf
9,0.05117113464244067,515463.5904213776,0.7722260125163231,0.036639046
10,0.0787296993193163,194335.19563753155,0.67163779654143,inf
9,0.06126580090349111,56608.111769977186,0.6840998766688386,inf
5,0.06435143978329816,2773152.3604830895,0.7693775166201918,inf
10,0.048143950672002986,1244214.2340773218,0.7386847547797447,0.032708663
4,0.04214702491062244,1174665.6644781318,0.9181301597089885,0.030684423
10,0.06468235746383857,1058046.6978892903,0.8632153314797937,inf
6,0.086436269969919,1992815.5114551038,0.8826329621359198,inf
6,0.09311028834040991,1847005.7678209133,0.6039303378805649,inf
8,0.046805811963853895,646413.8441072269,0.6447392885531874,0.032805186
8,0.0790845025429118,2555934.0723129283,0.7453277888825509,inf
3,0.09260027775939653,2528487.9415356573,0.7201210193398533,inf
5,0.09204704213301265,2630888.230803559,0.6526304655696893,inf
8,0.044613894198013926,1039476.2224587592,0.9411815022168656,0.040520165
2,0.06179147932672441,486359.4914481003,0.9251988134585916,inf
3,0.04231964644857069,2145956.2551754923,0.6127414873314709,0.026519278
9,0.09681868952101905,2546834.3513508867,0.7926261462523706,inf
5,0.07316838201264274,320186.6495359071,0.8254070379539622,inf
8,0.06120516261568586,334977.63060853083,0.7488280303243529,0.035027903
8,0.07820337724975365,2400790.1225611493,0.8134598985710386,inf
5,0.05952305785936902,502581.46639228286,0.6019529036433391,inf
6,0.057797313242148554,1796588.5506848234,0.6330278459858995,0.039177664
3,0.07040426117553278,2340489.762331857,0.679900964667096,inf
7,0.05025832854690922,459821.80443008046,0.6242704556873969,0.042629197
4,0.07511818225721767,1914474.380159793,0.9902992868571645,inf
6,0.09356085745129951,1130999.9705310499,0.8045729535464315,inf
3,0.04710803820916254,565827.5594480701,0.6738796721754811,0.034936458
8,0.07098950075836595,663522.9807646004,0.771682441716224,inf
6,0.09244646768787879,2658833.473014176,0.981086094989657,inf
1,0.08174015298478736,998765.9623134006,0.7769968420925476,inf
4,0.06646210715094157,174787.39299447584,0.9682617654123088,inf
9,0.07244903169869493,878379.9442295559,0.9291209730915676,inf
1,0.04859902171700986,2364388.9043837716,0.9229934320499293,inf
