Optimizador: SGD
Schedule: Power
Número de épocas: 50
Fecha y horario de guardado: 2025-05-19_15-20-46
El mínimo valor de la función pérdida (0.0273008830845356) se obtuvo  con batch size = 5, step size = 0.05, optimAux = () y schAux = (2000000.0, 0.6611955859899851).

Rangos de los hiperparámetros:
límite inferior,límite superior
1,20
-0.22184871,-0.09691

Resultados:
batch size,step size,schAux0,schAux1,loss
13,0.05,2000000.0,0.6654538714402997,0.036457144
2,0.05,2000000.0,0.7833332893921455,inf
20,0.05,2000000.0,0.7668928496681388,0.04724702
4,0.05,2000000.0,0.6191933842875333,0.030048285
5,0.05,2000000.0,0.6878486231082994,0.02786659
10,0.05,2000000.0,0.6443070845156635,0.037516057
15,0.05,2000000.0,0.6033051168128208,0.04704114
14,0.05,2000000.0,0.6634118635339218,0.052418135
17,0.05,2000000.0,0.6448530332652386,0.04210653
6,0.05,2000000.0,0.7386359871643705,0.037413448
8,0.05,2000000.0,0.7364893568751203,0.034496807
5,0.05,2000000.0,0.731396775953159,0.028207054
2,0.05,2000000.0,0.6319296556979042,inf
9,0.05,2000000.0,0.6346365827142404,0.03770763
6,0.05,2000000.0,0.7755999793057202,0.037203092
11,0.05,2000000.0,0.6754640003334323,0.038816195
18,0.05,2000000.0,0.6696895438970465,0.047918037
12,0.05,2000000.0,0.6527844467514458,0.04352405
2,0.05,2000000.0,0.7796872570480105,inf
15,0.05,2000000.0,0.7011158307756448,0.047155995
19,0.05,2000000.0,0.650519057233264,0.043545533
12,0.05,2000000.0,0.6846450659782797,0.04345135
9,0.05,2000000.0,0.7566982686299057,0.03782609
9,0.05,2000000.0,0.7486389812343831,0.037823323
19,0.05,2000000.0,0.6716332833973949,0.04350915
6,0.05,2000000.0,0.6800240727900267,0.037679654
15,0.05,2000000.0,0.6214782198286464,0.04706195
8,0.05,2000000.0,0.7231617937830087,0.034459617
1,0.05,2000000.0,0.682209482073811,inf
11,0.05,2000000.0,0.6263679194667627,0.038852837
11,0.05,2000000.0,0.7901589859257748,0.03874612
7,0.05,2000000.0,0.7883922702701569,0.05020862
4,0.05,2000000.0,0.6654850134466076,0.03002726
16,0.05,2000000.0,0.7584414637748352,0.04489927
3,0.05,2000000.0,0.6161499546490942,0.029362924
11,0.05,2000000.0,0.623474732527673,0.03885631
6,0.05,2000000.0,0.7523447971705579,0.03730602
10,0.05,2000000.0,0.707018340662077,0.037782867
12,0.05,2000000.0,0.6691998203373937,0.04348651
4,0.05,2000000.0,0.636194545110356,0.030040178
7,0.05,2000000.0,0.7068974412534511,0.050106432
10,0.05,2000000.0,0.6317423637440442,0.03742237
18,0.05,2000000.0,0.6901878558550076,0.047906972
10,0.05,2000000.0,0.6947369030742061,0.03775091
8,0.05,2000000.0,0.7253005383824699,0.034466162
19,0.05,2000000.0,0.6985974160885773,0.04346291
17,0.05,2000000.0,0.6913426529733897,0.042580962
13,0.05,2000000.0,0.6954819562794515,0.036444094
10,0.05,2000000.0,0.7638088254722476,0.03794978
1,0.05,2000000.0,0.7113244249261169,inf
17,0.05,2000000.0,0.7656326879291294,0.04530872
5,0.05,2000000.0,0.7152430494970218,0.028098447
2,0.05,2000000.0,0.7947794851685501,inf
16,0.05,2000000.0,0.6134846432467045,0.04524001
18,0.05,2000000.0,0.6273066218369483,0.047941267
12,0.05,2000000.0,0.7259398745582847,0.043357704
15,0.05,2000000.0,0.7793307579864808,0.047241163
19,0.05,2000000.0,0.7172932451146065,0.04343234
5,0.05,2000000.0,0.6991374939978016,0.027969563
19,0.05,2000000.0,0.7461472728081154,0.043384198
6,0.05,2000000.0,0.6542775783662144,0.03775307
17,0.05,2000000.0,0.7959484026277466,0.042853165
5,0.05,2000000.0,0.6115850146742572,0.02801883
7,0.05,2000000.0,0.7105137339796026,0.050114434
3,0.05,2000000.0,0.6486372373464717,0.029296331
3,0.05,2000000.0,0.6155182602673129,0.029364185
20,0.05,2000000.0,0.6857937127931261,0.047144286
18,0.05,2000000.0,0.7990795280410443,0.047851004
18,0.05,2000000.0,0.7405647532157605,0.047880486
16,0.05,2000000.0,0.7031280841842609,0.045020595
8,0.05,2000000.0,0.7429369875138534,0.03451186
14,0.05,2000000.0,0.640299043621972,0.052412882
8,0.05,2000000.0,0.7617701419973264,0.034536216
15,0.05,2000000.0,0.7505562815913253,0.047210902
7,0.05,2000000.0,0.6055205839166785,0.049878374
13,0.05,2000000.0,0.7324123500749259,0.03665055
5,0.05,2000000.0,0.6611955859899851,0.027300883
3,0.05,2000000.0,0.772335211526051,0.029621378
2,0.05,2000000.0,0.7749057291460935,inf
10,0.05,2000000.0,0.6209227928175729,0.03733232
3,0.05,2000000.0,0.6578948214533713,0.029274765
16,0.05,2000000.0,0.720334653862556,0.044981536
9,0.05,2000000.0,0.770419094955355,0.037845884
15,0.05,2000000.0,0.7150360465289893,0.04717085
11,0.05,2000000.0,0.6013467715801016,0.038873624
13,0.05,2000000.0,0.7844932764526392,0.037782434
1,0.05,2000000.0,0.6566582628540379,inf
7,0.05,2000000.0,0.7542284995312442,0.050181203
9,0.05,2000000.0,0.7351766994688567,0.037822828
14,0.05,2000000.0,0.6078074700662914,0.05240464
16,0.05,2000000.0,0.7277547937254545,0.044965576
14,0.05,2000000.0,0.609855445125037,0.052405328
13,0.05,2000000.0,0.6775579629502904,0.036451224
14,0.05,2000000.0,0.6285832355826704,0.05240982
17,0.05,2000000.0,0.6473917150192225,0.042154714
11,0.05,2000000.0,0.642602142652848,0.038841154
4,0.05,2000000.0,0.6374458432680918,0.030036043
4,0.05,2000000.0,0.6046773428926091,0.030045189
12,0.05,2000000.0,0.7921011351420166,0.04321014
20,0.05,2000000.0,0.674965106537203,0.047132116
